compound label,p value,adjusted p value,FC: POST/PRE
PC..p.38.3..or.PC..o.38.4..,0.0195179415026642,0.376511759881422,0.878522837706511
PC..p.38.4..or.PC..o.38.5..A.,0.141646546988992,0.480331442855323,0.848926830513233
PC..p.38.4..or.PC..o.38.5..B.,0.0116854651994917,0.347802034570957,0.806223704056522
PC..p.38.5..or.PC..o.38.6..,0.137667621903051,0.479885920884723,0.84918070620817
PC..p.40.3..or.PC..o.40.4..,0.0660137714829211,0.400409991831297,0.891428571428572
PC..p.40.4..or.PC..o.40.5..,0.248188880223007,0.59857318171431,0.931016775077028
PC..p.40.5..or.PC..o.40.6..,0.0934822513876577,0.426822754396845,0.856125074213339
PC..p.40.6..or.PC..o.40.7..A.,0.399330086776177,0.721606109361805,0.871975081862471
PC..p.40.6..or.PC..o.40.7..B.,0.856098659611099,0.954961830694296,0.963016330451489
PC..p.42.3..or.PC..o.42.4..,0.170577815080935,0.52266013802379,0.954254795868175
PC..p.42.4..or.PC..o.42.5..,0.441703794027408,0.748870609838121,1.00181776868893
PC..p.42.5..or.PC..o.42.6..,0.0578861063443439,0.389291859566922,1.00489995916701
PC..p.44.4..or.PC..o.44.5..,0.28224040883945,0.631192187040953,0.952923869069511
PE..34.2..,0.000580690569297548,0.251266557912961,0.74194421879231
PE..38.4..,0.0425799965537943,0.378884353424953,0.82256890275611
PE..p.36.2..or.PE..o.36.3..,0.00546817451945941,0.327779441396848,0.756397474243935
PE..p.36.4..or.PE..o.36.5..,0.0537646240684091,0.389291859566922,0.743577135832821
PE..p.38.5..or.PE..o.38.6..,0.159368290556433,0.508207770996625,0.772773352643012
SM..41.2..A,0.561738994460265,0.821149871358724,0.909506323949408
SM..d30.1..,0.348949595578281,0.673531826865363,1.0114404576183
SM..d32.0..,0.920481593326041,0.970054653431727,0.966204506065858
SM..d32.1..,0.143397829071504,0.480410625799865,0.823358873472769
SM..d32.2..,0.442742779760543,0.748870609838121,0.8919185282523
SM..d33.1..,0.0284315063955874,0.376511759881422,0.871579821465643
SM..d34.0..,0.0292639561195604,0.376511759881422,0.851806739748275
SM..d34.1..,0.0571603420671124,0.389291859566922,0.852041312228434
SM..d34.2..,0.0490024337526637,0.383555413282213,0.907878893639299
SM..d36.0..,0.0518797598281518,0.389291859566922,0.772205834152737
SM..d36.1..,0.092012241352521,0.42364994547872,0.868691309179275
SM..d36.2..,0.105626397372921,0.435958650047903,0.913440149101184
SM..d36.3..,0.69363824221929,0.886616585922315,1.08271954674221
SM..d37.1..,0.5848685814642,0.838013030914162,0.924694303608709
SM..d38.1..,0.580393390280047,0.837049763871223,0.99126679462572
SM..d38.2..,0.482106162727891,0.777328475859014,0.969910927655877
SM..d39.1..,0.30764236095238,0.645089122086909,0.93004190198579
SM..d39.2..,0.54344325650468,0.804313931081589,1.3501872659176
SM..d40.1..,0.14918988768041,0.490276691957378,0.91432943445269
SM..d40.2..A,0.316486880280067,0.648798104574137,0.954114089060382
SM..d40.2..B,0.437588896767774,0.747547698644947,0.978004713275727
SM..d41.1..,0.0970544579415015,0.429214728814882,0.896373713380839
SM..d41.2..B,0.543214861112969,0.804313931081589,0.951492537313433
SM..d42.1..,0.0504164267782561,0.389291859566922,0.900837988826816
SM..d42.2..A,0.269328253909653,0.618377670976562,0.91976272862086
SM..d42.3..,0.423357228517198,0.737875655371069,0.926890841159245
SM..d43.1..,0.00148588974000706,0.255870213229216,0.864613596746078
SM..d43.2..A,0.0571416701324719,0.389291859566922,0.817527010804322
TG..14.0.14.0.14.0..,0.815763649975458,0.932765607740862,1.76913580246914
TG..44.1..,0.633122870434203,0.868058394118808,2.13964784456588
TG..46.0..,0.0811523847001867,0.409360697780074,0.649246330821103
TG..46.1..,0.950802365573307,0.983943313411799,1.74453629260559
TG..46.2..,0.496052087853043,0.785111852282114,2.5205688166582
TG..46.3..,0.568989083168214,0.826137606421302,2.33333333333333
TG..48.0..,0.0194005334648359,0.376511759881422,0.663590697674419
TG..48.1..,0.134833486129906,0.479105196012428,0.70298118360615
TG..48.2.,0.854120781952657,0.954961830694296,1.33835008870491
TG..48.3..,0.212968944541427,0.561853902089481,2.9365950490425
TG..48.4.,0.129526983441189,0.474564820182398,2.18854415274463
TG..49.1..,0.0767550679900734,0.409360697780074,0.632904550859367
TG..49.2..,0.140928640918753,0.480331442855323,0.576387191395747
TG..49.3..,0.509800222085193,0.792412912051884,0.791640673736744
TG..50.0..,0.0372284903097279,0.376511759881422,0.718373310605138
TG..50.2..,0.0519202971691512,0.389291859566922,0.660057022482112
TG..50.3..,0.564838302169048,0.822886257474705,0.944227937348466
TG..50.4..,0.85847550877677,0.956206226464164,1.02370452039691
TG..50.5..,0.233370207409665,0.580727597051217,1.42152466367713
TG..51.1..,0.762270906398917,0.907766598076718,1.50669310857709
TG..51.2..,0.177211395817088,0.5290878489371,0.604373517707119
TG..51.3..,0.262098875652994,0.612808957255955,0.690654154618364
TG..51.4..,0.793794094803716,0.921100694913746,1.00526870389884
TG..52.1..,0.0254290173400868,0.376511759881422,0.5609762756286
TG..52.4..,0.308833952187577,0.645089122086909,0.76258795504439
TG..52.5..,0.887921815571128,0.964309105565824,0.91429933072253
TG..52.6..,0.769526997001159,0.911976648355265,0.961228207129846
TG..53.1..,0.0526844792464789,0.389291859566922,0.65262252794497
TG..53.2..,0.12952185286775,0.474564820182398,0.731187222130743
TG..53.3..,0.354456925966353,0.679000811906179,0.766774331159729
TG..53.4..,0.535888557045609,0.804313931081589,0.954005458340023
TG..53.5..,0.962617386941126,0.987368350376815,1.1301720130172
TG..54.1..,0.0639167051962195,0.400409991831297,0.595950506186727
TG..54.2..,0.100263547490142,0.430953518302257,0.85180355452729
TG..54.3..,0.148398274685748,0.489543733733445,1.17420564418931
TG..54.4.,0.0695591018746844,0.409360697780074,1.09915360945691
TG..54.5..A.,0.217451994362019,0.56449247542349,1.07499049177367
