compound label,p value,adjusted p value,FC: POST/PRE
PC..32.2..,0.398819014698623,0.680558333351774,1.4842988102204
PC..33.1..,0.406944008020849,0.681616378605084,0.841121495327103
PC..33.2..,0.953573687936227,0.972032671564415,0.994385807320907
PC..34.0..,0.0196987601759719,0.26713440628879,0.87448275862069
PC..34.3..,0.199361443240347,0.536119690976223,0.938332880065271
PC..34.4..,0.598529638730611,0.821614832230368,1.4514751552795
PC..35.1..,0.952473239291772,0.972032671564415,0.966139954853273
PC..35.2..,0.323530024627507,0.644740837608939,1.06628003314002
PC..35.4..,0.335278212681644,0.651937050654044,0.979421928997801
PC..36.3..A.,0.0392734442056302,0.309899623739466,1.21691171005099
PC..36.4..,0.0293269502702552,0.289113545373802,0.923717948717949
PC..36.4..A.,0.441910402810504,0.708075458105592,0.861213048850204
PC..36.4..B.,0.00941966664601376,0.194450445605507,0.902551505737577
PC..36.5..A.,0.645159930295311,0.840565565423293,1.13272543059777
PC..36.5..B.,0.60232933171667,0.822838104261593,0.977604553328384
PC..37.2..,0.0834992541085242,0.394825483570731,1.05894736842105
PC..37.4..,0.0327181556506214,0.289113545373802,1.06203473945409
PC..38.3..,0.398925392597046,0.680558333351774,0.912447113416132
PC..38.4..A.,0.589482362456153,0.821434068986518,0.980201123785178
PC..38.5..A.,0.453062992230827,0.715633590000965,1.04144248945761
PC..38.5..B.,0.802599763775942,0.897878206558197,0.948352297916359
PC..38.6..,0.438223109030183,0.706237822089222,0.898303893877436
PC..40.4..,0.0837938975923494,0.394825483570731,0.867016622922135
PC..40.5..A.,0.320933064667638,0.644183335578364,0.995749202975558
PC..40.5..B.,0.00994894987241391,0.194450445605507,0.7556
PC..40.6..B.,0.972400307407726,0.981224266640102,0.9642640298378
PC..40.7..,0.764579327754193,0.891550054561997,1.04477376635661
PC..p.32.0..or.PC..o.32.1..,0.0213920033031733,0.273807018779674,0.888308977035491
PC..p.34.0..or.PC..o.34.1..,0.774579278934382,0.891550054561997,0.978542626728111
PC..p.34.1..or.PC..o.34.2..A.,0.322450666830649,0.644740837608939,0.900908889381512
PC..p.34.1..or.PC..o.34.2..B.,0.538118841217069,0.781185576283786,0.990891186607582
PC..p.34.2..or.PC..o.34.3..,0.0719653860043155,0.370488468688883,0.910044746181145
PC..p.36.1..or.PC..o.36.2..,0.311795987715868,0.63349962425792,0.292656192911947
PC..p.36.2..or.PC..o.36.3..,0.339401462172726,0.651937050654044,1.06727272727273
PC..p.36.3..or.PC..o.36.4..,0.122251667341406,0.445249143337215,0.906349696408357
PC..p.36.4..or.PC..o.36.5..,0.247021943292051,0.577580432565413,0.919770565599361
PC..p.38.3..or.PC..o.38.4..,0.0374181074989155,0.309899623739466,0.927937020589423
PC..p.38.4..or.PC..o.38.5..A.,0.899572816465509,0.956690526678301,0.963303363303363
PC..p.38.4..or.PC..o.38.5..B.,0.0791774833504439,0.382805919503016,0.895702559150169
PC..p.38.5..or.PC..o.38.6..,0.529010915649158,0.769974002882021,0.831017649267743
PC..p.40.3..or.PC..o.40.4..,0.211530177398523,0.547145095140748,0.928330206378987
PC..p.40.4..or.PC..o.40.5..,0.633457377313449,0.840565565423293,0.93077474892396
PC..p.42.4..or.PC..o.42.5..,0.145696936325582,0.49092049178606,0.963133640552995
PC..p.44.4..or.PC..o.44.5..,0.0614995234253775,0.3468752382306,0.923385300668152
PE..34.1..,0.00254223323595544,0.194450445605507,0.67360806663744
PE..34.2..,0.00555733522630685,0.194450445605507,0.744745395449621
PE..36.1..,0.00508948463740435,0.194450445605507,0.869795810129939
PE..36.2..,0.0226337662942524,0.273807018779674,0.899357171554841
PE..36.3..,0.436772335328477,0.706197379014017,1.02677746999077
PE..36.4..,0.00507287832578379,0.194450445605507,0.773744275095728
PE..38.2..,0.0461014845575965,0.324461081190173,0.927329524435858
PE..38.4..A.,0.0964593414194115,0.413416670221237,0.966528530443098
PE..38.4..B.,0.0859336393442108,0.401505071221691,0.966183836469473
PE..38.6..,0.153156100965984,0.506873762720757,0.755258599356595
PE..p.34.2..or.PE..o.34.3..,0.00379993935800026,0.194450445605507,0.72582995951417
PE..p.36.1..or.PE..o.36.2..,0.36910787929649,0.673926198766524,0.874224478285392
PE..p.36.2..or.PE..o.36.3..,0.0100699676895739,0.194450445605507,0.818676337262013
PE..p.36.4..or.PE..o.36.5..,0.114397236258504,0.432686145304272,0.716114335304008
PE..p.36.5..or.PE..o.36.6..,0.515381578597751,0.768523871640207,0.74868804664723
PE..p.38.4..or.PE..o.38.5..,0.0327592686304847,0.289113545373802,0.831726750989023
PE..p.38.5..or.PE..o.38.6..A,0.10133121246416,0.413821660941865,0.723086639490153
PE..p.38.5..or.PE..o.38.6..B,0.339359247856079,0.651937050654044,0.63959100204499
PE..p.38.6..or.PE..o.38.7..,0.372897843969747,0.677493909209473,0.81066812306572
PE..p.40.5..or.PE..o.40.6..,0.123766613731823,0.445249143337215,0.889497716894977
PE..p.40.6..or.PE..o.40.7..,0.108262359658976,0.423900506833735,0.807981820764096
PE..p.40.7..or.PE..o.40.8..,0.446497142934708,0.712213626751793,0.884306987399771
SM..d30.1..,0.781547141988265,0.891550054561997,0.975020145044319
SM..d32.2..,0.842577750075364,0.929510375083139,0.956140350877193
SM..d33.1..,0.0282013784448963,0.289113545373802,0.908018543167944
SM..d34.2..,0.0765110430708471,0.376461415463637,0.948034643570953
SM..d36.1..,0.289543371280215,0.60979588799924,0.977306248323947
SM..d36.2..,0.105891298028599,0.421911763689797,0.880166765932103
SM..d36.3..,0.00993033760319704,0.194450445605507,1.11368015414258
SM..d38.1..,0.779095017412424,0.891550054561997,0.989506424958371
SM..d38.2..,0.00470768307316448,0.194450445605507,1.10731707317073
SM..d40.2..A.,0.0789840416522793,0.382805919503016,0.915236891216664
SM..d40.2..B.,0.671388122854222,0.852264375130017,1.0411456034525
SM..d40.3..,0.281606141916167,0.606547631780548,1.04248366013072
SM..d41.2..,0.436927874785651,0.706197379014017,0.947146936526226
SM..d42.2..A.,0.51724876279037,0.768523871640207,0.961910622074224
SM..d42.2..B.,0.876790060832094,0.946592764704164,0.91387713699003
SM..d42.3..,0.610762726232026,0.831559858780668,0.995357525478669
SM..d43.2..,0.0133708485610218,0.232318493747754,0.793300653594771
CSH_negESI..109,0.059301769753201,0.3468752382306,0.873462630085147
CSH_negESI..113,0.0960245459028784,0.413416670221237,0.891722529874672
CSH_negESI..223,0.200562762091824,0.536119690976223,0.955445544554455
CSH_negESI..376,0.0048039892017251,0.194450445605507,0.916137805983681
CSH_negESI..378,0.197793905023608,0.536119690976223,0.841210436270317
CSH_negESI..520,0.0908256418706297,0.407250458710243,0.968124788063751
CSH_negESI..524,0.0756952026725853,0.375772613267477,0.945770381723962
CSH_negESI..527,0.403344702031295,0.681616378605084,1.01326944342057
CSH_negESI..528,0.300080686758786,0.620241122073921,0.962660256410256
CSH_negESI..564,0.236790092625092,0.569936326837884,0.887563102340523
CSH_negESI..565,0.0955757955125904,0.413416670221237,0.847955647955648
CSH_negESI..569,0.0408552843639055,0.309899623739466,0.939068100358423
CSH_negESI..579,0.8968136029965,0.956690526678301,1.105283455457
CSH_negESI..598,0.101966848109776,0.413821660941865,0.989348025711662
CSH_negESI..599,0.019195036467187,0.26713440628879,0.966743104843274
CSH_negESI..615,0.227769106690103,0.569936326837884,0.964333143616012
CSH_negESI..628,0.0324884318504473,0.289113545373802,0.928991336633663
CSH_negESI..631,0.770033178863955,0.891550054561997,0.816675574559059
CSH_negESI..668,0.0988538219226812,0.413821660941865,0.728998133167393
